well,start_date,end_date,baseline_before,baseline_during,min_q,max_q,duration_days
1459,01-08-2023,01-10-2023,134,148,0,0,62
1459,02-10-2023,27-11-2023,148,133,130,138,57
1459,28-11-2023,05-12-2023,133,44,41,45,8
1459,06-12-2023,16-02-2024,44,136,134,138,73
1459,17-02-2024,13-03-2024,136,76,73,78,26
1459,14-03-2024,10-04-2024,76,137,108,140,28
1459,11-04-2024,25-04-2024,137,67,65,68,15
1459,26-04-2024,02-05-2024,67,143,142,144,7
1459,03-05-2024,25-05-2024,143,81,79,103,23
1459,26-05-2024,06-06-2024,81,176,173,179,12
1459,07-06-2024,13-09-2024,176,200,0,0,99
1459,14-09-2024,30-09-2024,200,200,200,200,17
1459,01-10-2024,08-12-2024,200,144,0,0,69
1459,09-12-2024,02-01-2025,144,142,134,146,25
1459,03-01-2025,17-01-2025,142,63,60,65,15
1459,18-01-2025,01-05-2025,63,137,134,140,104
